population_size,scale_factor_F,crossover_rate_CR,repetitions,max_generations,fitness_target,best_fitness_mean,best_fitness_std,generations_mean,generations_std,success_rate,success_count
20,0.3,0.3,30,1000,1e-06,0.0014755137789119314,0.006097856334809251,219.56666666666666,264.6851979672995,0.9,27
20,0.3,0.7,30,1000,1e-06,0.06124285858500622,0.12633783145849675,941.1333333333333,224.02982149602366,0.06666666666666667,2
20,0.3,0.9,30,1000,1e-06,0.8333956401525524,0.9360085961237883,1000,0.0,0.0,0
20,0.5,0.3,30,1000,1e-06,7.470927848585605e-07,1.7816725254725666e-07,165.53333333333333,6.095409993470968,1.0,30
20,0.5,0.7,30,1000,1e-06,7.947891793475606e-07,1.3356183863995614e-07,156.66666666666666,6.238552735201094,1.0,30
20,0.5,0.9,30,1000,1e-06,0.007906251498071844,0.033536945156442614,546.2333333333333,404.6616026307391,0.5666666666666667,17
20,0.8,0.3,30,1000,1e-06,8.048328526249773e-07,1.6578014530215123e-07,275.03333333333336,10.946526242676677,1.0,30
20,0.8,0.7,30,1000,1e-06,7.85100866448128e-07,1.830625159800051e-07,389.5,22.157352636587003,1.0,30
20,0.8,0.9,30,1000,1e-06,8.336807767172568e-07,1.4921992068230697e-07,412.93333333333334,27.764941095255153,1.0,30
50,0.3,0.3,30,1000,1e-06,7.91287941505403e-07,1.6323033879264565e-07,127.7,4.12853818999012,1.0,30
50,0.3,0.7,30,1000,1e-06,8.111743097756947e-07,1.5969542635995969e-07,111.56666666666666,4.040171841116059,1.0,30
50,0.3,0.9,30,1000,1e-06,0.0041878250304985655,0.018557942069288243,648.8,437.70163038464835,0.4,12
50,0.5,0.3,30,1000,1e-06,8.210232594399188e-07,1.4281924137079736e-07,166.9,4.801939263428388,1.0,30
50,0.5,0.7,30,1000,1e-06,7.778622561867245e-07,1.6937024849159528e-07,168.2,5.809623407582546,1.0,30
50,0.5,0.9,30,1000,1e-06,7.867102687363916e-07,1.840744896749011e-07,169.93333333333334,5.865935168606865,1.0,30
50,0.8,0.3,30,1000,1e-06,8.103850130770438e-07,1.45654074565336e-07,280.06666666666666,7.776770597075641,1.0,30
50,0.8,0.7,30,1000,1e-06,7.872771668890709e-07,1.5334556155351096e-07,423.1,15.81215159081883,1.0,30
50,0.8,0.9,30,1000,1e-06,8.454295322455244e-07,1.1463718320110497e-07,567.7,23.844539604813452,1.0,30
100,0.3,0.3,30,1000,1e-06,7.614015587994015e-07,1.6255550891622922e-07,125.03333333333333,2.9767296720108605,1.0,30
100,0.3,0.7,30,1000,1e-06,8.464502658076157e-07,1.6248105918485294e-07,110.73333333333333,3.6287485572789446,1.0,30
100,0.3,0.9,30,1000,1e-06,8.095268190520811e-07,1.2305865319957777e-07,113.23333333333333,4.673353173585052,1.0,30
100,0.5,0.3,30,1000,1e-06,8.287381210557795e-07,1.194606443916568e-07,166.66666666666666,4.603846467775677,1.0,30
100,0.5,0.7,30,1000,1e-06,7.681348504800692e-07,1.2557084199520118e-07,172.16666666666666,3.824452481285288,1.0,30
100,0.5,0.9,30,1000,1e-06,7.413555768954466e-07,1.8225266859437612e-07,186.13333333333333,6.511175185698091,1.0,30
100,0.8,0.3,30,1000,1e-06,8.158628196176187e-07,1.5804785796950194e-07,277.9,6.819596509451578,1.0,30
100,0.8,0.7,30,1000,1e-06,7.634238619911442e-07,1.4184524759433055e-07,431.56666666666666,12.099254275491052,1.0,30
100,0.8,0.9,30,1000,1e-06,8.338747133541563e-07,1.3162556131484655e-07,615.6,17.34358671094304,1.0,30
