config_id,pop_size,pc,pm,selection,fit_media,fit_dp,profit_media,profit_dp,gen_media,gen_dp,melhor_profit_global
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,15386.3,169.91,15386.3,169.91,158.43,69.61,15662
pop50_pc0.6_pm0.03_tournament_k3,50,0.6,0.03,tournament_k3,15550.97,83.08,15550.97,83.08,154.2,49.78,15728
pop50_pc0.6_pm0.05_tournament_k3,50,0.6,0.05,tournament_k3,15467.83,94.11,15467.83,94.11,152.3,62.18,15682
pop50_pc0.8_pm0.01_tournament_k3,50,0.8,0.01,tournament_k3,15438.07,125.89,15438.07,125.89,142.3,51.95,15706
pop50_pc0.8_pm0.03_tournament_k3,50,0.8,0.03,tournament_k3,15556.23,70.7,15556.23,70.7,147.2,44.12,15685
pop50_pc0.8_pm0.05_tournament_k3,50,0.8,0.05,tournament_k3,15471.87,89.48,15471.87,89.48,145.83,52.95,15622
pop50_pc0.9_pm0.01_tournament_k3,50,0.9,0.01,tournament_k3,15408.8,118.56,15408.8,118.56,129.47,38.45,15629
pop50_pc0.9_pm0.03_tournament_k3,50,0.9,0.03,tournament_k3,15571.13,62.52,15571.13,62.52,164.6,50.43,15672
pop50_pc0.9_pm0.05_tournament_k3,50,0.9,0.05,tournament_k3,15445.47,94.51,15445.47,94.51,122.6,41.6,15631
pop100_pc0.6_pm0.01_tournament_k3,100,0.6,0.01,tournament_k3,15555.0,106.4,15555,106.4,146.9,56.92,15741
pop100_pc0.6_pm0.03_tournament_k3,100,0.6,0.03,tournament_k3,15591.43,63.83,15591.43,63.83,139.17,41.64,15680
pop100_pc0.6_pm0.05_tournament_k3,100,0.6,0.05,tournament_k3,15448.13,65.96,15448.13,65.96,128.77,53.6,15578
pop100_pc0.8_pm0.01_tournament_k3,100,0.8,0.01,tournament_k3,15557.07,82.06,15557.07,82.06,153.57,61.54,15699
pop100_pc0.8_pm0.03_tournament_k3,100,0.8,0.03,tournament_k3,15561.07,70.26,15561.07,70.26,138.37,46.03,15739
pop100_pc0.8_pm0.05_tournament_k3,100,0.8,0.05,tournament_k3,15456.97,65.42,15456.97,65.42,125.53,32.94,15592
pop100_pc0.9_pm0.01_tournament_k3,100,0.9,0.01,tournament_k3,15585.6,80.71,15585.6,80.71,139.07,50.13,15718
pop100_pc0.9_pm0.03_tournament_k3,100,0.9,0.03,tournament_k3,15586.0,67.23,15586,67.23,153.17,44.0,15696
pop100_pc0.9_pm0.05_tournament_k3,100,0.9,0.05,tournament_k3,15483.33,78.71,15483.33,78.71,142.47,47.97,15622
pop200_pc0.6_pm0.01_tournament_k3,200,0.6,0.01,tournament_k3,15633.8,91.62,15633.8,91.62,152.67,50.88,15757
pop200_pc0.6_pm0.03_tournament_k3,200,0.6,0.03,tournament_k3,15604.73,64.91,15604.73,64.91,141.33,55.63,15711
pop200_pc0.6_pm0.05_tournament_k3,200,0.6,0.05,tournament_k3,15508.13,72.56,15508.13,72.56,135.1,49.48,15653
pop200_pc0.8_pm0.01_tournament_k3,200,0.8,0.01,tournament_k3,15645.97,65.59,15645.97,65.59,143.87,45.98,15743
pop200_pc0.8_pm0.03_tournament_k3,200,0.8,0.03,tournament_k3,15600.87,60.89,15600.87,60.89,153.13,47.36,15692
pop200_pc0.8_pm0.05_tournament_k3,200,0.8,0.05,tournament_k3,15457.1,79.34,15457.1,79.34,106.93,37.46,15602
pop200_pc0.9_pm0.01_tournament_k3,200,0.9,0.01,tournament_k3,15668.63,54.55,15668.63,54.55,141.8,37.63,15747
pop200_pc0.9_pm0.03_tournament_k3,200,0.9,0.03,tournament_k3,15583.0,70.53,15583,70.53,147.8,51.09,15741
pop200_pc0.9_pm0.05_tournament_k3,200,0.9,0.05,tournament_k3,15448.27,75.98,15448.27,75.98,113.47,38.6,15606
pop50_pc0.6_pm0.01_roulette,50,0.6,0.01,roulette,15282.37,157.49,15282.37,157.49,139.47,61.8,15591
pop50_pc0.6_pm0.03_roulette,50,0.6,0.03,roulette,15257.9,108.23,15257.9,108.23,108.73,53.84,15497
pop50_pc0.6_pm0.05_roulette,50,0.6,0.05,roulette,15255.07,100.22,15255.07,100.22,120.13,46.78,15486
pop50_pc0.8_pm0.01_roulette,50,0.8,0.01,roulette,15290.83,107.51,15290.83,107.51,114.8,41.49,15491
pop50_pc0.8_pm0.03_roulette,50,0.8,0.03,roulette,15231.8,116.83,15231.8,116.83,112.7,43.29,15528
pop50_pc0.8_pm0.05_roulette,50,0.8,0.05,roulette,15230.33,87.35,15230.33,87.35,107.13,42.22,15397
pop50_pc0.9_pm0.01_roulette,50,0.9,0.01,roulette,15298.43,107.61,15298.43,107.61,126.93,49.05,15490
