config_id,pop_size,pc,pm,selection,run,best_fitness,best_profit,best_weight,generations
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,1,15527.0,15527,14226,282
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,2,15519.0,15519,14236,153
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,3,15152.0,15152,14233,65
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,4,15591.0,15591,14175,249
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,5,14983.0,14983,14234,56
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,6,15517.0,15517,14224,177
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,7,15324.0,15324,14230,169
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,8,15203.0,15203,14231,128
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,9,15329.0,15329,14151,113
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,10,15162.0,15162,14233,98
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,11,15445.0,15445,14203,257
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,12,15662.0,15662,14212,214
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,13,15261.0,15261,14236,172
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,14,15607.0,15607,14224,341
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,15,15262.0,15262,14237,132
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,16,15338.0,15338,14211,140
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,17,15409.0,15409,14211,155
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,18,15490.0,15490,14229,150
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,19,15510.0,15510,14209,233
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,20,15469.0,15469,14228,57
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,21,15466.0,15466,14238,176
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,22,15138.0,15138,14237,77
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,23,15398.0,15398,14239,107
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,24,15338.0,15338,14225,188
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,25,15457.0,15457,14199,113
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,26,15076.0,15076,14238,58
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,27,15488.0,15488,14188,135
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,28,15606.0,15606,14207,222
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,29,15394.0,15394,14206,164
pop50_pc0.6_pm0.01_tournament_k3,50,0.6,0.01,tournament_k3,30,15468.0,15468,14204,172
pop50_pc0.6_pm0.03_tournament_k3,50,0.6,0.03,tournament_k3,1,15565.0,15565,14212,199
pop50_pc0.6_pm0.03_tournament_k3,50,0.6,0.03,tournament_k3,2,15728.0,15728,14231,180
pop50_pc0.6_pm0.03_tournament_k3,50,0.6,0.03,tournament_k3,3,15483.0,15483,14198,139
pop50_pc0.6_pm0.03_tournament_k3,50,0.6,0.03,tournament_k3,4,15658.0,15658,14212,154
pop50_pc0.6_pm0.03_tournament_k3,50,0.6,0.03,tournament_k3,5,15590.0,15590,14238,150
pop50_pc0.6_pm0.03_tournament_k3,50,0.6,0.03,tournament_k3,6,15569.0,15569,14235,191
pop50_pc0.6_pm0.03_tournament_k3,50,0.6,0.03,tournament_k3,7,15487.0,15487,14230,102
pop50_pc0.6_pm0.03_tournament_k3,50,0.6,0.03,tournament_k3,8,15561.0,15561,14238,168
pop50_pc0.6_pm0.03_tournament_k3,50,0.6,0.03,tournament_k3,9,15458.0,15458,14239,135
pop50_pc0.6_pm0.03_tournament_k3,50,0.6,0.03,tournament_k3,10,15506.0,15506,14238,141
pop50_pc0.6_pm0.03_tournament_k3,50,0.6,0.03,tournament_k3,11,15608.0,15608,14228,189
pop50_pc0.6_pm0.03_tournament_k3,50,0.6,0.03,tournament_k3,12,15602.0,15602,14236,135
pop50_pc0.6_pm0.03_tournament_k3,50,0.6,0.03,tournament_k3,13,15544.0,15544,14226,207
pop50_pc0.6_pm0.03_tournament_k3,50,0.6,0.03,tournament_k3,14,15514.0,15514,14195,180
pop50_pc0.6_pm0.03_tournament_k3,50,0.6,0.03,tournament_k3,15,15501.0,15501,14239,192
pop50_pc0.6_pm0.03_tournament_k3,50,0.6,0.03,tournament_k3,16,15504.0,15504,14236,212
pop50_pc0.6_pm0.03_tournament_k3,50,0.6,0.03,tournament_k3,17,15594.0,15594,14235,178
pop50_pc0.6_pm0.03_tournament_k3,50,0.6,0.03,tournament_k3,18,15656.0,15656,14230,121
pop50_pc0.6_pm0.03_tournament_k3,50,0.6,0.03,tournament_k3,19,15676.0,15676,14227,332
